epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.4849,1.03934,3.86626,1.51958,0.27883,0.38804,0.32361,0.21887,1.09308,2.28739,1.65009,0.000137365,0.000137365,0.000137365
2,62.1198,1.00509,2.29396,1.4402,0.57046,0.45311,0.45989,0.28797,1.28949,2.21278,1.83692,0.000262685,0.000262685,0.000262685
3,90.6212,1.03533,1.96934,1.47415,0.40938,0.45149,0.42272,0.2273,1.64278,2.49608,2.23213,0.000374244,0.000374244,0.000374244
4,118.708,1.05852,1.81083,1.48082,0.56156,0.39426,0.42651,0.2706,1.29785,2.18099,1.93087,0.000355076,0.000355076,0.000355076
5,140.866,1.0341,1.65823,1.4676,0.60457,0.54254,0.59307,0.38904,1.13476,1.74609,1.69416,0.000334434,0.000334434,0.000334434
6,161.58,0.98135,1.51844,1.41758,0.6665,0.59104,0.65699,0.43199,1.15278,1.58732,1.67939,0.000313792,0.000313792,0.000313792
7,184.063,0.95899,1.45902,1.40973,0.65801,0.5854,0.65625,0.45634,1.09066,1.49646,1.62477,0.000293151,0.000293151,0.000293151
8,206.115,0.94404,1.39869,1.39394,0.71272,0.60472,0.68646,0.46532,1.07109,1.40184,1.61134,0.000272509,0.000272509,0.000272509
9,227.943,0.9312,1.26959,1.38024,0.70662,0.68692,0.74239,0.50981,1.15018,1.27848,1.69142,0.000251868,0.000251868,0.000251868
10,250.225,0.89513,1.18959,1.34863,0.74621,0.61578,0.74189,0.50822,1.03848,1.17843,1.54157,0.000231226,0.000231226,0.000231226
11,301.535,0.82315,0.9876,1.39265,0.71284,0.69475,0.73782,0.54231,0.96903,1.2311,1.51032,0.000210585,0.000210585,0.000210585
12,322.953,0.74804,0.84334,1.33842,0.75988,0.66896,0.74158,0.53231,1.02994,1.22222,1.58974,0.000189943,0.000189943,0.000189943
13,344.045,0.74786,0.81895,1.33551,0.77476,0.67361,0.73731,0.5404,0.92827,1.25677,1.4732,0.000169302,0.000169302,0.000169302
14,365.381,0.71522,0.72822,1.2951,0.74475,0.69024,0.75895,0.54794,0.97239,1.15325,1.5144,0.00014866,0.00014866,0.00014866
15,386.81,0.68223,0.65671,1.26791,0.80758,0.74327,0.80862,0.58669,0.98601,1.02467,1.51395,0.000128019,0.000128019,0.000128019
16,408.477,0.64132,0.59322,1.22275,0.81808,0.72534,0.80649,0.59471,0.91453,1.04076,1.46539,0.000107378,0.000107378,0.000107378
17,429.828,0.61413,0.52341,1.1858,0.79979,0.73105,0.80948,0.6065,0.8946,1.00704,1.42525,8.6736e-05,8.6736e-05,8.6736e-05
18,451.089,0.60458,0.50509,1.18732,0.80113,0.76799,0.8153,0.62523,0.87512,0.96357,1.3903,6.60945e-05,6.60945e-05,6.60945e-05
19,472.841,0.57934,0.45159,1.16403,0.87045,0.74788,0.85047,0.65254,0.85556,0.82802,1.38183,4.5453e-05,4.5453e-05,4.5453e-05
20,494.522,0.55728,0.42271,1.14723,0.82587,0.81291,0.84661,0.64946,0.84478,0.86097,1.37076,2.48115e-05,2.48115e-05,2.48115e-05
